number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_eps,params_lr,params_weight_decay,state
55,0.5995647311210632,2026-04-11 15:52:41.001160,2026-04-11 15:53:40.221513,0 days 00:00:59.220353,0.8242318041795433,0.9691292716631048,4.5492824334846415e-09,0.0008145416633428086,0.0002866675313646435,COMPLETE
56,0.6134669184684753,2026-04-11 15:53:40.242393,2026-04-11 15:54:39.465460,0 days 00:00:59.223067,0.8011666417575818,0.949236550444277,3.4860196424234014e-09,0.001380406430574497,9.643378430822118e-05,COMPLETE
57,0.5917425751686096,2026-04-11 15:54:39.498360,2026-04-11 15:55:38.703286,0 days 00:00:59.204926,0.9246985529125612,0.9600730779856288,2.119316723372521e-09,0.003368021124861695,0.00038029977001262946,COMPLETE
58,0.6289491057395935,2026-04-11 15:55:38.722417,2026-04-11 15:56:38.340838,0 days 00:00:59.618421,0.9662027112670903,0.9594934848702841,1.9278591739863983e-09,0.003262734934003835,0.0010614355857076199,COMPLETE
59,0.7261231541633606,2026-04-11 15:56:38.360080,2026-04-11 15:57:37.578377,0 days 00:00:59.218297,0.9221513149046883,0.9446593315862858,1.0749235252039636e-09,0.013161881759901387,0.0037988344627814426,COMPLETE
60,0.6064029932022095,2026-04-11 15:57:37.598594,2026-04-11 15:58:36.893252,0 days 00:00:59.294658,0.9468643830414545,0.93631424265612,1.480438724845574e-09,0.00046752451082014495,0.0003965829973295193,COMPLETE
61,0.5990103483200073,2026-04-11 15:58:36.912371,2026-04-11 15:59:36.166896,0 days 00:00:59.254525,0.9260521393486837,0.9758712876770668,9.282181954623876e-09,0.001678793283303549,0.00018871525060844816,COMPLETE
62,0.6209621429443359,2026-04-11 15:59:36.188230,2026-04-11 16:00:35.405761,0 days 00:00:59.217531,0.9084923349569712,0.9679171012234086,2.409371255701604e-09,0.0009441373775897892,0.0008798395055577069,COMPLETE
63,0.6001542210578918,2026-04-11 16:00:35.423734,2026-04-11 16:01:34.699463,0 days 00:00:59.275729,0.94098038049655,0.9609173725076404,3.427975132715141e-09,0.0026896692927787934,0.0004955294394761196,COMPLETE
64,0.5950413942337036,2026-04-11 16:01:34.719380,2026-04-11 16:02:34.063426,0 days 00:00:59.344046,0.8108199542275779,0.9724060324006311,5.51516129308013e-09,0.003852282869235814,0.0002364272258959138,COMPLETE
65,0.5903820395469666,2026-04-11 16:02:34.091066,2026-04-11 16:03:33.408817,0 days 00:00:59.317751,0.8323442743185008,0.9797662762512004,5.512463062169431e-09,0.007251624070468339,0.0002964037149285544,COMPLETE
66,0.6109476685523987,2026-04-11 16:03:33.429734,2026-04-11 16:04:32.707750,0 days 00:00:59.278016,0.8321359804546675,0.9782660618283517,5.227400116383456e-09,0.02439243669534758,0.00029408592747017523,COMPLETE
67,0.5952292084693909,2026-04-11 16:04:32.727942,2026-04-11 16:05:32.054051,0 days 00:00:59.326109,0.8184649753176643,0.9530889373339003,5.973957630081442e-09,0.006475937014173847,0.0004367023251692435,COMPLETE
68,0.5943923592567444,2026-04-11 16:05:32.074918,2026-04-11 16:06:31.356413,0 days 00:00:59.281495,0.8186038533942087,0.9655928521019629,1.8090180259403423e-08,0.006227863321883177,0.00035900195048633115,COMPLETE
69,0.6636837720870972,2026-04-11 16:06:31.370762,2026-04-11 16:07:30.599785,0 days 00:00:59.229023,0.8395538775839552,0.9655528410057539,2.1264008706800754e-08,0.009331196830188487,0.0018525221845120863,COMPLETE
70,0.5829637050628662,2026-04-11 16:07:30.612065,2026-04-11 16:08:29.820534,0 days 00:00:59.208469,0.8279246966352874,0.9698750642166232,1.6721237641638265e-08,0.018659885016991066,0.00036429594417023526,COMPLETE
71,0.598747968673706,2026-04-11 16:08:29.843645,2026-04-11 16:09:29.123995,0 days 00:00:59.280350,0.8295212259159647,0.9708168851810949,3.52921388943688e-09,0.012927263531295774,0.00032403874379915835,COMPLETE
72,0.5933393836021423,2026-04-11 16:09:29.138284,2026-04-11 16:10:28.443557,0 days 00:00:59.305273,0.821461400405533,0.9746947050899839,1.601480535536507e-08,0.017634082682439083,0.00036726104395371856,COMPLETE
73,0.613961935043335,2026-04-11 16:10:28.457308,2026-04-11 16:11:27.743614,0 days 00:00:59.286306,0.8212253665173713,0.9746856727112936,2.7529783084436763e-08,0.03797337554680555,0.0005881082912654017,COMPLETE
74,0.6070805788040161,2026-04-11 16:11:27.760072,2026-04-11 16:12:26.999278,0 days 00:00:59.239206,0.8054662745254797,0.9825599937203121,1.605901347604475e-08,0.01967203628418582,0.0008583875257919262,COMPLETE
75,0.5929324626922607,2026-04-11 16:12:27.014828,2026-04-11 16:13:26.277419,0 days 00:00:59.262591,0.8152240483037886,0.9630301756193564,1.1101979724839565e-08,0.03570021900306363,0.00036057150580355666,COMPLETE
76,0.6333963871002197,2026-04-11 16:13:26.292588,2026-04-11 16:14:25.616214,0 days 00:00:59.323626,0.8364072675431411,0.9630106315811479,1.1251473351257964e-08,0.029946166339110212,0.0003602664484726932,COMPLETE
77,0.6183098554611206,2026-04-11 16:14:25.630861,2026-04-11 16:15:26.321889,0 days 00:01:00.691028,0.8466108407369343,0.9776977474642479,1.665619994473696e-08,0.08627426779894481,0.0005778775844638237,COMPLETE
78,0.5918663144111633,2026-04-11 16:15:26.338175,2026-04-11 16:16:25.701306,0 days 00:00:59.363131,0.8145218825506093,0.9677976943410453,2.0621877689679585e-08,0.05289828123500244,0.0008704185524881842,COMPLETE
79,0.6865997314453125,2026-04-11 16:16:25.723564,2026-04-11 16:17:25.035884,0 days 00:00:59.312320,0.8279034078805146,0.9604270316513125,3.960746165557644e-08,0.051914288497868964,0.0012969904551013497,COMPLETE
